subject,predicate,object,subjectComment,predicateComment,objectComment
User,mutesAccounts,User,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",Indicates that a user mutes another user account.,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr)."
User,searchFor,User,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",Allows a user to search for other users within the platform.,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr)."
User,searchTopicsOn,SearchFunctionality,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",Allows a user to search for specific topics within the platform.,Represents search functionalities within the platform.
User,saveSearchesFor,SearchFunctionality,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",Allows a user to save their searches for future reference.,Represents search functionalities within the platform.
User,useAdvancedSearchOn,SearchFunctionality,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",Allows a user to use advanced search options for more specific query parameters.,Represents search functionalities within the platform.
User,searchContentBasedOnLocationOn,SearchFunctionality,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",Displays content based on the user's location.,Represents search functionalities within the platform.
User,personalizeTrendsOn,ExploreSettings,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",Personalizes trending content for the user based on their interests.,Represents settings for exploring content based on location and personalization.
DirectMessages,dmSender,User,Represents direct messages sent between users on the platform.,"
            The user who initiates/sends this direct message.
        ","Represents a user in a microblogging platform (e.g., Twitter, Tumblr)."
DirectMessages,dmReceiver,User,Represents direct messages sent between users on the platform.,"
            The user who receives this direct message.
        ","Represents a user in a microblogging platform (e.g., Twitter, Tumblr)."
User,sendsMediaTo,User,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).","Indicates that a user sends media files (photos, videos) to another user.","Represents a user in a microblogging platform (e.g., Twitter, Tumblr)."
User,sendsVoiceNotesTo,User,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",Indicates that a user sends voice notes to another user.,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr)."
User,repliesToMessage,DirectMessages,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",Indicates that a user replies to a specific direct message.,Represents direct messages sent between users on the platform.
User,deletesMessage,DirectMessages,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",Indicates that a user deletes a specific direct message.,Represents direct messages sent between users on the platform.
User,addsReactionTo,DirectMessages,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).","Indicates that a user adds a reaction (like, emoji) to a specific direct message.",Represents direct messages sent between users on the platform.
User,reportsMessage,DirectMessages,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",Indicates that a user reports a specific direct message for inappropriate content.,Represents direct messages sent between users on the platform.
User,isSubscribedTo,Subscription,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",Links a user to a specific subscription they are subscribed to.,Represents subscription-related features for monetization.
User,receivesAdvertisements,Advertisement,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",Links a user to advertisements they receive on the platform.,Represents advertisement-related features for monetization.
User,searchesForCommunity,Community,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",Indicates that a user is searching for a specific community.,"Represents a group or community on the platform where users can join, interact, and share content."
User,joinsCommunity,Community,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",Indicates that a user has joined a specific community.,"Represents a group or community on the platform where users can join, interact, and share content."
User,spotlightsCommunity,Community,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",Indicates that a user is highlighting or promoting a specific community.,"Represents a group or community on the platform where users can join, interact, and share content."
User,pinsCommunity,Community,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",Indicates that a user has pinned a specific community to their profile or feed.,"Represents a group or community on the platform where users can join, interact, and share content."
User,createsShortcutForCommunity,Community,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",Indicates that a user has created a shortcut for quick access to a community.,"Represents a group or community on the platform where users can join, interact, and share content."
User,sharesCommunity,Community,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",Indicates that a user has shared a community with others.,"Represents a group or community on the platform where users can join, interact, and share content."
User,reportsCommunity,Community,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",Indicates that a user has reported a community for inappropriate content or behavior.,"Represents a group or community on the platform where users can join, interact, and share content."
User,startsListeningTo,LiveSpacesRooms,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",Indicates that a user has started listening to a live space or room.,"Represents live spaces or rooms for users to listen, speak, and interact during live sessions."
User,requestsToSpeak,LiveSpacesRooms,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",Indicates that a user has requested to speak in a live space or room.,"Represents live spaces or rooms for users to listen, speak, and interact during live sessions."
User,replaysLiveSession,LiveSpacesRooms,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",Indicates that a user is replaying a live session.,"Represents live spaces or rooms for users to listen, speak, and interact during live sessions."
User,followsHost,LiveSpacesRooms,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",Indicates that a user is following the host of a live space or room.,"Represents live spaces or rooms for users to listen, speak, and interact during live sessions."
User,viewsGuestLists,LiveSpacesRooms,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",Indicates that a user is viewing the guest list of a live space or room.,"Represents live spaces or rooms for users to listen, speak, and interact during live sessions."
User,usesReactions,LiveSpacesRooms,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",Indicates that a user is using reactions in a live space or room.,"Represents live spaces or rooms for users to listen, speak, and interact during live sessions."
User,sharesLiveSession,LiveSpacesRooms,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",Indicates that a user is sharing a live session.,"Represents live spaces or rooms for users to listen, speak, and interact during live sessions."
User,leavesLiveSession,LiveSpacesRooms,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",Indicates that a user has left a live session.,"Represents live spaces or rooms for users to listen, speak, and interact during live sessions."
User,setsReminder,UpcomingSessions,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",Indicates that a user has set a reminder for an upcoming session.,Represents scheduled live sessions that users can set reminders for or add to their calendar.
User,addsToCalendar,UpcomingSessions,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",Indicates that a user has added an upcoming session to their calendar.,Represents scheduled live sessions that users can set reminders for or add to their calendar.
User,savesDraftsOn,Drafts,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",Indicates that a user has saved content as a draft.,Represents drafts saved by users on the platform.
User,addsOrFollowsList,Lists,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",Indicates that a user adds or follows a list on the platform.,Represents lists created or followed by users on the platform.
User,pinsList,Lists,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",Indicates that a user has pinned a specific list for quick access.,Represents lists created or followed by users on the platform.
User,reportsList,Lists,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",Indicates that a user has reported a list on the platform.,Represents lists created or followed by users on the platform.
User,blocksListCreator,ListCreator,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",Indicates that a user has blocked the creator of a specific list.,
User,sharesList,Lists,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",Indicates that a user has shared a list with others.,Represents lists created or followed by users on the platform.
User,searchesForLists,Lists,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",Indicates that a user has searched for specific lists on the platform.,Represents lists created or followed by users on the platform.
User,clearsAllBookmarks,Bookmarks,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",Indicates that a user clears all saved bookmarks.,Represents a collection of content items saved as bookmarks by users.
User,acceptsFollowerRequests,FollowerRequests,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",Indicates that a user accepts  follower requests.,Represents follower requests that a user can accept or decline.
User,declinesFollowerRequests,FollowerRequests,"Represents a user in a microblogging platform (e.g., Twitter, Tumblr).",Indicates that a user declines follower requests.,Represents follower requests that a user can accept or decline.
